序号,书名,评分,评价人数,作者,出版社
167,按自己的意愿过一生,8.2,79,作者/译者： ,出版信息： 王潇 / 2016-1-1
168,明天过得怎么样，取决于今天的你怎么做,8.2,13,作者/译者： 三公子 ,出版信息：  现代出版社 / 2016-2-1 / 36.00
169,别做正常的傻瓜,8.2,4407,作者/译者： 奚恺元 ,出版信息：  机械工业出版社 / 2006-8 / 28.00元
170,活法,8.2,6090,作者/译者： （日）稻盛和夫 / 周庆玲 ,出版信息：  东方出版社 / 2005-03 / 24.00元
171,你的灯亮着吗?,8.2,2333,作者/译者： (美国)唐纳德?高斯等著 / 章柏幸 / 刘敏 ,出版信息：  清华大学出版社 / 2003-1 / 25.00元
172,人性的弱点,8.2,2493,作者/译者： 戴尔·卡内基 / 赵虚年 ,出版信息：  中国妇女出版社 / 2006-7 / 19.80元
173,批判性思维工具（原书第3版）,8.2,254,作者/译者： [美] 理查德·保罗 / [美] 琳达·埃尔德 / 侯玉波 / 姜佟琳 [等] ,出版信息：  机械工业出版社 / 2013-5 / 49.00元
174,怦然心動的人生整理魔法,8.2,668,作者/译者： 近藤麻理惠 / 陳光棻 ,出版信息：  方智出版社股份有限公司 / 2011-10 / NT$250
175,比知识还多,8.2,147,作者/译者： 汪凯 / 爱德华?德?波诺 / 王以 / 汪凯 / 王以 ,出版信息：  企业管理出版社 / 2004-6 / 68.00元
176,十四堂人生创意课,8.2,13069,作者/译者： 李欣频 ,出版信息：  电子工业出版社 / 2008-1 / 26.00
177,赢,8.2,5521,作者/译者： （美） 杰克?韦尔奇，苏茜?韦尔奇 / 余江 ,出版信息：  中信出版社 / 2005-5 / 35.00元
178,天生敏感,8.2,55,作者/译者： 伊莱恩· 阿伦 / 于娟娟 ,出版信息：  华夏出版社 / 2014-1 / 36.8
179,松浦彌太郎的100個基本,8.2,333,作者/译者： 松浦弥太郎 / 黃薇嬪 ,出版信息：  悦知文化 / 2013-5-1 / NT$290
180,你早该这么玩Excel,8.2,1333,作者/译者： 伍昊 ,出版信息：  北京大学出版社 / 2011-7-15 / 39.80元
